⺕	gri
一寸光陰一寸金	jrt cvn #o~ jrm jrt cvn grm
一寸光陰一寸金寸金難買寸光陰	jrt cvn #o~ jrm jrt cvn grm cvn grm nan mai cvn #o~ jrm
一將功成萬骨枯	jrt z@~ gu~ si~ man #rt fu
一對	jrt d!i
一對一	jrt d!i jrt
一對一鬥牛	jrt d!i jrt dru ~ru
一對兒	jrt d!i ji
一小撮	jrt siu cvt
一小時	jrt siu si
一小部分	jrt siu bou frn
一小陣兒	jrt siu zrn ji
一就一二就二	jrt zru jrt ji zru ji
一局	jrt guk
一展身手	jrt zin srn sru
一層	jrt cr~
一山不能藏二虎	jrt san brt nr~ co~ ji fu
一山還比一山高	jrt san wan bei jrt san gou
一岩一窟	jrt ~am jrt frt
一己之私	jrt gei zi si
一帆風順	jrt fan fu~ s!n
一席之地	jrt zik zi dei
一席話	jrt zik wa
一帶	jrt dai
一帶而過	jrt dai ji #o
一年	jrt nin
一年一度	jrt nin jrt dou
一年之計在於春	jrt nin zi gri zoi jv c!n
一年到頭	jrt nin dou tru
一年半	jrt nin bun
一年半載	jrt nin bun zoi
一年四季	jrt nin sei #ri
一年多	jrt nin do
一年期	jrt nin kei
一年生	jrt nin sr~
一年級	jrt nin krp
一年被蛇咬十年怕井繩	jrt nin bei se ~au srp nin pa ze~ si~
一度	jrt dou
一廂情願	jrt s@~ ci~ jvn
一式	jrt sik
一式二份	jrt sik ji frn
一式兩份	jrt sik l@~ frn
一弓射兩箭	jrt gu~ se l@~ zin
一張	jrt z@~
一張嘢	jrt z@~ je
一彈指頃	jrt dan zi ki~
一往	jrt wo~
一往情深	jrt wo~ ci~ srm
一往無前	jrt wo~ mou cin
一往直前	jrt wo~ zik cin
一律	jrt l!t
一徑	jrt gi~
一德路	jrt drk lou
一心	jrt srm
一心一德	jrt srm jrt drk
一心一意	jrt srm jrt ji
一心二用	jrt srm ji ju~
一心向上	jrt srm h@~ s@~
一忍再忍	jrt jrn zoi jrn
一念之差	jrt nim zi ca
一念之間	jrt nim zi gan
一息尚存	jrt sik s@~ cvn
一息間	jrt sik gan
一意	jrt ji
一意孤行	jrt ji gu hr~
一應	jrt ji~
一應俱全	jrt ji~ k!i cvn
一成	jrt si~
一成不變	jrt si~ brt bin
一戙都冇	jrt du~ dou mou
一房一廳	jrt fo~ jrt te~
一手	jrt sru
一手一腳	jrt sru jrt g@k
一手交錢	jrt sru gau cin
一手交錢一手交貨	jrt sru gau cin jrt sru gau fo
一手包辦	jrt sru bau ban
一手遮天	jrt sru ze tin
一打	jrt da
一批	jrt pri
一技之長	jrt gei zi c@~
一技旁身	jrt gei po~ srn
一把	jrt ba
一把好手	jrt ba hou sru
一把屎一把尿	jrt ba si jrt ba niu
一把手	jrt ba sru
一把抓	jrt ba zau
一把死拿	jrt ba sei na
一把火	jrt ba fo
一把眼淚一把鼻涕	jrt ba ~an l!i jrt ba bei tri
一把鑰匙開一把鎖	jrt ba j@k si hoi jrt ba so
一抓一大把	jrt zau jrt dai ba
一折兩段	jrt zit l@~ dvn
一抿子	jrt mrn zi
一拍兩散	jrt pak l@~ san
一拍即合	jrt pak zik hrp
一拍行	jrt pak ho~
一招半式	jrt ziu bun sik
一掃而光	jrt sou ji #o~
一掃而空	jrt sou ji hu~
一排	jrt pai
一掬同情之淚	jrt guk tu~ ci~ zi l!i
一揮而就	jrt fri ji zru
一撇嘢	jrt pit je
一撇水	jrt pit s!i
一撥兒	jrt but ji
一擁而上	jrt ju~ ji s@~
一擁而入	jrt ju~ ji jrp
一擊入洞	jrt gik jrp du~
一擔擔	jrt dam dam
一擲千金	jrt zak cin grm
一攬子	jrt lam zi
一支公	jrt zi gu~
一改故轍	jrt goi gu cit
一敗塗地	jrt bai tou dei
一文	jrt mrn
一文不值	jrt mrn brt zik
一文不名	jrt mrn brt mi~
一斑	jrt ban
一方	jrt fo~
一方面	jrt fo~ min
一於	jrt jv
一旁	jrt po~
一族	jrt zuk
一日	jrt jrt
一日三秋	jrt jrt sam cru
一日三餐	jrt jrt sam can
一日不見如隔三秋	jrt jrt brt gin jv gak sam cru
一日之計在於晨	jrt jrt zi gri zoi jv srn
一日之雅	jrt jrt zi ~a
一日到黑	jrt jrt dou hrk
一日千里	jrt jrt cin lei
一日為師終身為父	jrt jrt wri si zu~ srn wri fu
一旦	jrt dan
一早	jrt zou
一早就	jrt zou zru
一星半點	jrt si~ bun dim
一時	jrt si
一時一樣	jrt si jrt j@~
一時之間	jrt si zi gan
一時半刻	jrt si bun hrk
一時半晌	jrt si bun h@~
一時半會	jrt si bun wui
一時半會兒	jrt si bun wui ji
一時半霎	jrt si bun sap
一時口快	jrt si hru fai
一時時	jrt si si
一時瑜亮	jrt si jv l@~
一時間	jrt si gan
一晃	jrt fo~
一暴十寒	jrt bou srp hon
一曝十寒	jrt buk srp hon
一更	jrt ga~
一會	jrt wui
一會兒	jrt wui ji
一月	jrt jvt
一月份	jrt jvt frn
一望無垠	jrt mo~ mou ~rn
一望無際	jrt mo~ mou zri
一望而知	jrt mo~ ji zi
一朝	jrt ziu
一朝一夕	jrt ziu jrt zik
一朝天子一朝臣	jrt ciu tin zi jrt ciu srn
一朝被蛇咬	jrt ziu bei se ~au
一朝被蛇咬十年怕井繩	jrt ziu bei se ~au srp nin pa ze~ si~
一木難支	jrt muk nan zi
一本正經	jrt bun zi~ gi~
一本萬利	jrt bun man lei
一本通書睇到老	jrt bun tu~ sv tri dou lou
一朵鮮花插在牛糞上	jrt do sin fa cap zoi ~ru frn s@~
一杯羹	jrt bui gr~
一東一西	jrt du~ jrt sri
一板一眼	jrt ban jrt ~an
一板三眼	jrt ban sam ~an
一枕黃粱	jrt zrm wo~ l@~
一枝公	jrt zi gu~
一枝獨秀	jrt zi duk sru
一架	jrt ga
一柱擎天	jrt cv ki~ tin
一根筋	jrt grn grn
一根繩上的螞蚱	jrt grn si~ s@~ dik ma za
一桿進洞	jrt gon z!n du~
一條冷	jrt tiu la~
一條心	jrt tiu srm
一條數	jrt tiu sou
一條氣	jrt tiu hei
一條繩上的螞蚱	jrt tiu si~ s@~ dik ma za
一條道走到黑	jrt tiu dou zru dou hrk
一條龍	jrt tiu lu~
一條龍服務	jrt tiu lu~ fuk mou
一梯兩伙	jrt tri l@~ fo
一概	jrt koi
一概而論	jrt koi ji l!n
一槌定音	jrt c!i di~ jrm
一樂也	jrt lok ja
一樓一鳯	jrt lru jrt fu~
一樓一鳳	jrt lru jrt fu~
一模一樣	jrt mou jrt j@~
一樣	jrt j@~
一樣米養百樣人	jrt j@~ mri j@~ bak j@~ jrn
一檔	jrt 檔:do~
一次	jrt ci
一次函數	jrt ci ham sou
一次又一次	jrt ci jru jrt ci
一次性	jrt ci si~
一次方程	jrt ci fo~ ci~
一次方程式	jrt ci fo~ ci~ sik
一次生兩次熟	jrt ci sa~ l@~ ci suk
一次總付	jrt ci zu~ fu
一次起兩次止	jrt ci hei l@~ ci zi
一次過	jrt ci #o
一步	jrt bou
一步一個腳印	jrt bou jrt go g@k jrn
一步一步	jrt bou jrt bou
一步一趨	jrt bou jrt c!i
一步到位	jrt bou dou wri
一步登天	jrt bou dr~ tin
一死一傷	jrt sei jrt s@~
一死了之	jrt sei liu zi
一段	jrt dvn
一殼眼淚	jrt hok ~an l!i
一毛不拔	jrt mou brt brt
一毛錢	jrt mou cin
一氣	jrt hei
一氣之下	jrt hei zi ha
一氣呵成	jrt hei ho si~
一氧化二氮	jrt j@~ fa ji dam
一氧化氮	jrt j@~ fa dam
一氧化碳	jrt j@~ fa tan
一氧化碳中毒	jrt j@~ fa tan zu~ duk
一水兒	jrt s!i ji
一池春水	jrt ci c!n s!i
一池秋水	jrt ci cru s!i
一決勝負	jrt kvt si~ fu
一決雌雄	jrt kvt ci hu~
一沉百踩	jrt crm bak cai
一波三折	jrt bo sam zit
一波未平一波又起	jrt bo mei pi~ jrt bo jru hei
一派	jrt pai
一派胡言	jrt pai wu jin
一派謊言	jrt pai fo~ jin
一流	jrt lru
一清二楚	jrt ci~ ji co
一清二白	jrt ci~ ji bak
一清如水	jrt ci~ jv s!i
一清早	jrt ci~ zou
一準	jrt z!n
一溜煙	jrt lru jin
一潭死水	jrt tam sei s!i
一瀉千里	jrt se cin lei
一炮打響	jrt pau da h@~
一炮而紅	jrt pau ji hu~
一無所動	jrt mou so du~
一無所有	jrt mou so jru
一無所獲	jrt mou so wok
一無所知	jrt mou so zi
一無所聞	jrt mou so mrn
一無所長	jrt mou so c@~
一無是處	jrt mou si cv
一片	jrt pin
一物治一物糯米治木蝨	jrt mrt zi jrt mrt no mri zi muk srt
一物降一物	jrt mrt ho~ jrt mrt
一班人	jrt ban jrn
一理通百理明	jrt lei tu~ bak lei mi~
一琴一鶴	jrt krm jrt hok
一生	jrt sr~
一生一世	jrt sr~ jrt sri
一生人	jrt sr~ jrn
一甲	jrt gap
一甲子	jrt gap zi
一番	jrt fan
一疋布咁長	jrt prt bou grm c@~
一病不起	jrt be~ brt hei
一瘸一拐	jrt ke jrt #ai
一登龍門	jrt dr~ lu~ mun
一發	jrt fat
一發不可收拾	jrt fat brt ho sru srp
一百	jrt bak
一百一	jrt bak jrt
一百萬	jrt bak man
一百零一	jrt bak li~ jrt
一皮	jrt pei
一皮嘢	jrt pei je
一盅兩件	jrt zu~ l@~ gin
一盤散沙	jrt pun san sa
一盤水	jrt pun s!i
一目了然	jrt muk liu jin
一目十行	jrt muk srp ho~
一目瞭然	jrt muk liu jin
一直	jrt zik
一直以來	jrt zik ji loi
一直往前	jrt zik wo~ cin
一直行	jrt zik ha~
一相情願	jrt s@~ ci~ jvn
一眨眼	jrt zam ~an
一眼	jrt ~an
一眼望去	jrt ~an mo~ h!i
一眼看穿	jrt ~an hon cvn
一眼睇晒	jrt ~an tri sai
一眼關七	jrt ~an #an crt
一眾	jrt zu~
一睹	jrt dou
一瞥	jrt pit
一瞬	jrt s!n
一瞬間	jrt s!n gan
