⺕	gri
石林縣	sek lrm jvn
石林風景區	sek lrm fu~ gi~ k!i
石柱	sek cv
石柱土家族自治縣	sek cv tou ga zuk zi zi jvn
石柱縣	sek cv jvn
石棉	sek min
石棉瓦	sek min ~a
石棉縣	sek min jvn
石棺	sek gun
石榴	sek lru
石榴子	sek lru zi
石榴樹	sek lru sv
石榴石	sek lru sek
石樓	sek lru
石樓縣	sek lru jvn
石沉大海	sek crm dai hoi
石河子	sek ho zi
石河子市	sek ho zi si
石油	sek jru
石油勘探	sek jru hrm tam
石油化學	sek jru fa hok
石油換食品項目	sek jru wun sik brn ho~ muk
石油氣	sek jru hei
石油氣爐	sek jru hei lou
石油蠟	sek jru lap
石油輸出國組織	sek jru sv c!t #ok zou zik
石油醚	sek jru mri
石泉	sek cvn
石泉縣	sek cvn jvn
石洞	sek du~
石渠	sek k!i
石渠縣	sek k!i jvn
石渠閣	sek k!i gok
石渠閣議	sek k!i gok ji
石渣	sek za
石澳	sek ou
石濤	sek tou
石灰	sek fui
石灰岩	sek fui ~am
石灰水	sek fui s!i
石灰石	sek fui sek
石灰籮	sek fui lo
石灰華	sek fui wa
石炭	sek tan
石炭井	sek tan ze~
石炭井區	sek tan ze~ k!i
石炭系	sek tan hri
石炭紀	sek tan gei
石炭酸	sek tan svn
石片	sek pin
石牌橋站	sek pai kiu zam
石狀	sek zo~
石狗公	sek gru gu~
石獅	sek si
石獅子	sek si zi
石獅市	sek si si
石玉昆	sek juk #rn
石田芳夫	sek tin fo~ fu
石砌	sek cri
石破天驚	sek po tin gi~
石硤尾	sek gip mei
石硪	sek ~o
石碁站	sek kei zam
石碇	sek di~
石碇鄉	sek di~ h@~
石碑	sek bei
石磙	sek #rn
石磨	sek mo
石窟	sek frt
石竹	sek zuk
石竹屬	sek zuk suk
石竹目	sek zuk muk
石竹科	sek zuk fo
石筆	sek brt
石筍	sek s!n
石米	sek mri
石粉	sek frn
石級	sek krp
石綠	sek luk
石罅	sek la
石罅米	sek la mri
石腦油	sek nou jru
石膏	sek gou
石膏牆板	sek gou c@~ ban
石膏繃帶	sek gou br~ dai
石臺	sek toi
石臺縣	sek toi jvn
石舫	sek fo~
石花菜	sek fa coi
石英	sek ji~
石英脈	sek ji~ mrk
石英鐘	sek ji~ zu~
石英鹵素燈	sek ji~ lou sou dr~
石蒜	sek svn
石蕊	sek j!i
石蕊試紙	sek j!i si zi
石虎	sek fu
石蜐	sek gip
石螺	sek lo
石蠟	sek lap
石質	sek zrt
石鐘乳	sek zu~ jv
石門	sek mun
石門縣	sek mun jvn
石門鄉	sek mun h@~
石阡	sek cin
石阡縣	sek cin jvn
石階	sek gai
石雀	sek z@k
石雕	sek diu
石雞	sek gri
石青	sek ci~
石頭	sek tru
石頭、剪子、布	sek tru 、zin zi 、bou
石頭火鍋	sek tru fo wo
石頭記	sek tru gei
石首	sek sru
石首市	sek sru si
石馬	sek ma
石鬆	sek su~
石鯪魚	sek le~ jv
石鹽	sek jim
石鼓	sek gu
石鼓區	sek gu k!i
石鼓文	sek gu mrn
石鼓洲	sek gu zru
石龍	sek lu~
石龍區	sek lu~ k!i
石龍子	sek lu~ zi
矸子	gon zi
矸石	gon sek
矻矻	~rt ~rt
矽	zik
矽晶片	zik zi~ pin
矽末病	zik mut be~
矽片	zik pin
矽肺	zik fri
矽肺病	zik fri be~
矽膠	zik gau
矽藻	zik zou
矽谷	zik guk
矽鋁層	zik l!i cr~
矽鎂層	zik mei cr~
砂	sa
砂仁	sa jrn
砂囊	sa no~
砂子	sa zi
砂岩	sa ~am
砂布	sa bou
砂拉越	sa lai jvt
砂漿	sa z@~
砂煲	sa bou
砂煲兄弟	sa bou hi~ dri
砂煲罌罉	sa bou ~a~ ca~
砂盆	sa pun
砂石	sa sek
砂礓	sa g@~
砂礫	sa lik
砂積礦床	sa zik $o~ co~
砂糖	sa to~
砂紙	sa zi
砂輪	sa l!n
砂鍋	sa wo
砉	wak
砌	cri
砌低	cri dri
砌合	cri hrp
砌合法	cri hrp fat
砌圖	cri tou
砌基腳	cri gei g@k
砌塊	cri fai
砌層	cri cr~
砌幾圈	cri gei hvn
砌末	cri mut
砌生豬肉	cri sa~ zv juk
砌磚	cri zvn
砌磚工	cri zvn gu~
砌詞捏控	cri ci nip hu~
砌路	cri lou
砌長城	cri c@~ si~
砌體	cri tri
砍	hrm
砍伐	hrm frt
砍傷	hrm s@~
砍價	hrm ga
砍刀	hrm dou
砍大山	hrm dai san
砍斷	hrm dvn
砍樹	hrm sv
砍死	hrm sei
砍殺	hrm sat
砍頭	hrm tru
砍頭不過風吹帽	hrm tru brt #o fu~ c!i mou
砒	pei
砒霜	pei s@~
研	jin
研修員	jin sru jvn
研判	jin pun
研定	jin di~
研擬	jin ji
研析	jin sik
研求	jin kru
研發	jin fat
研磨	jin mo
研磨料	jin mo liu
研磨材料	jin mo coi liu
研磨盤	jin mo pun
研究	jin gru
研究中心	jin gru zu~ srm
研究人員	jin gru jrn jvn
研究反應堆	jin gru fan ji~ d!i
研究員	jin gru jvn
研究報告	jin gru bou gou
研究室	jin gru srt
研究小組	jin gru siu zou
研究成果	jin gru si~ #o
研究所	jin gru so
研究機構	jin gru gei kru
研究生	jin gru sa~
研究生院	jin gru sr~ jvn
研究者	jin gru ze
研究院	jin gru jvn
研究領域	jin gru li~ wik
研缽	jin but
研習	jin zap
研考	jin hau
研船	jin svn
研華	jin wa
研製	jin zri
研製過程	jin zri #o ci~
研討	jin tou
研討會	jin tou wui
研讀	jin duk
砝碼	fat ma
砢磣	lo crm
砣	to
砣子	to zi
砣錶	to biu
砥	dri
砥礪	dri lri
砧	zrm
砧木	zrm muk
砧板	zrm ban
砧骨	zrm #rt
砩	fri
砭灸	bin gru
砭灸術	bin gru s!t
砭石	bin sek
砭針	bin zrm
砭骨	bin #rt
砰	pi~
砰砰	pi~ pi~
砲手	pau sru
砲擊	pau gik
砲火連天	pau fo lin tin
砲臺	pau toi
砲艇	pau te~
砲艦	pau lam
砲轟	pau #r~
砲響	pau h@~
破	po
破亡	po mo~
破例	po lri
破傷風	po s@~ fu~
破冰	po bi~
破冰型艏	po bi~ ji~ sru
破冰船	po bi~ svn
破冰艦	po bi~ lam
破口	po hru
破口大罵	po hru dai ma
破四舊	po sei gru
破土	po tou
破土典禮	po tou din lri
破壁	po bik
破壞	po wai
破壞性	po wai si~
破壞活動	po wai wut du~
破壞無遺	po wai mou wri
破天荒	po tin fo~
破家	po ga
破局	po guk
破屋又遭連夜雨	po uk jru zou lin je jv
破布	po bou
破戒	po gai
破折號	po zit hou
破損	po svn
破敗	po bai
破敗不堪	po bai brt hrm
破敝	po bri
破曉	po hiu
破柴	po cai
破格	po gak
破案	po on
破洞	po du~
破浪	po lo~
破涕為笑	po tri wri siu
破滅	po mit
破爛	po lan
破獲	po wok
破瓜	po #a
破瓦寒窯	po ~a hon jiu
破產	po can
破產者	po can ze
破甲彈	po gap dan
破的	po dik
破相	po s@~
破碎	po s!i
破碗破摔	po wun po s!t
破竹之勢	po zuk zi sri
破竹建瓴	po zuk gin li~
破紀錄	po gei luk
破約	po j@k
破綻	po zan
破綻百出	po zan bak c!t
破缺	po kvt
破罐破摔	po gun po s!t
破膽	po dam
破膽寒心	po dam hon srm
破舊	po gru
破舊立新	po gru lap srn
破落	po lok
破處	po cv
破蛹	po ju~
破裂	po lit
破解	po gai
破譯	po jik
破讀	po duk
破財	po coi
破財免災	po coi min zoi
破財擋災	po coi do~ zoi
破費	po fri
破身	po srn
破釜沈舟	po fu crm zru
破釜沉舟	po fu crm zru
破鈔	po cau
破銅爛鐵	po tu~ lan tit
破鏡	po ge~
破鏡重圓	po ge~ cu~ jvn
破門	po mun
破門而入	po mun ji jrp
破開	po hoi
破關	po #an
破除	po c!i
破除迷信	po c!i mri s!n
破鞋	po hai
破音字	po jrm zi
破題	po tri
破顏	po ~an
破體字	po tri zi
砵	but
砵仔糕	but zri gou
砵典乍街	but din za gai
砵蘭街	but lan gai
砵酒	but zru
砷中毒	srn zu~ duk
砷凡納明	srn fan nap mi~
砷化氫	srn fa hi~
砷製劑	srn zri zri
砸	zap
砸夯	zap ha~
砸死	zap sei
砸毀	zap wri
砸爛	zap lan
砸破	zap po
砸碎	zap s!i
砸鍋	zap wo
砸鍋賣鐵	zap wo mai tit
硃砂	zv sa
硅	#ri
硅化木	#ri fa muk
硅晶片	#ri zi~ pin
硅橡膠	#ri z@~ gau
硅沙	#ri sa
硅灰石	#ri fui sek
硅片	#ri pin
硅石	#ri sek
硅肺病	#ri fri be~
硅膠	#ri gau
硅藻	#ri zou
硅藻門	#ri zou mun
硅谷	#ri guk
硅質	#ri zrt
硅質岩	#ri zrt ~am
硅酸	#ri svn
硅酸氟鋁	#ri svn frt l!i
硅酸鹽	#ri svn jim
硅酸鹽水泥	#ri svn jim s!i nri
硅鋁質	#ri l!i zrt
硇砂	nau sa
硌	gok
硐室	du~ srt
硝化	siu fa
硝化甘油	siu fa grm jru
硝基苯	siu gei bun
硝氮	siu dam
硝煙	siu jin
硝石	siu sek
硝酸	siu svn
硝酸甘油	siu svn grm jru
硝酸鈉	siu svn nap
硝酸鈣	siu svn koi
硝酸鉀	siu svn gap
硝酸銀	siu svn ~rn
硝酸銨	siu svn on
硝酸鹽	siu svn jim
硤	hap
硨磲	ce k!i
硫	lru
硫代硫酸鈉	lru doi lru svn nap
硫化	lru fa
硫化氫	lru fa hi~
硫氰酸	lru ci~ svn
硫氰酸酶	lru ci~ svn mui
硫氰酸鹽	lru ci~ svn jim
硫球	lru kru
硫磺	lru wo~
硫磺鵐	lru wo~ mou
硫胺素	lru on sou
硫茚	lru jrn
硫酸	lru svn
硫酸鈉	lru svn nap
硫酸鈣	lru svn koi
硫酸鉀	lru svn gap
硫酸銅	lru svn tu~
硫酸銨	lru svn on
硫酸鋁	lru svn l!i
硫酸鋇	lru svn bui
硫酸鎂	lru svn mei
硫酸鐵	lru svn tit
硫酸鹽	lru svn jim
硫黃	lru wo~
硬	~a~
硬件	~a~ gin
硬件平臺	~a~ gin pi~ toi
硬來	~a~ loi
硬係	~a~ hri
硬倔倔	~a~ #rt #rt
硬健	~a~ gin
硬功夫	~a~ gu~ fu
硬化	~a~ fa
硬實	~a~ srt
硬席	~a~ zik
硬幣	~a~ bri
硬幣坯	~a~ bri pui
硬幹	~a~ gon
硬度	~a~ dou
硬座	~a~ zo
硬式磁碟機	~a~ sik ci dip gei
硬性	~a~ si~
硬打硬	~a~ da ~a~
硬拼	~a~ pi~
硬挺	~a~ ti~
硬掙	~a~ zr~
硬推	~a~ t!i
硬撐	~a~ ca~
硬是	~a~ si
硬晒舦	~a~ sai tai
硬晒軚	~a~ sai tai
硬朗	~a~ lo~
硬木	~a~ muk
硬板	~a~ ban
硬核	~a~ hrt
硬梆梆	~a~ bo~ bo~
硬橋硬馬	~a~ kiu ~a~ ma
硬正	~a~ zi~
硬殼	~a~ hok
硬殼果	~a~ hok #o
硬氣	~a~ hei
硬水	~a~ s!i
硬淨	~a~ zi~
硬漢	~a~ hon
硬灌	~a~ gun
硬生生	~a~ sa~ sa~
硬皮	~a~ pei
硬盤	~a~ pun
硬目標	~a~ muk biu
硬石膏	~a~ sek gou
硬碟	~a~ dip
硬碰硬	~a~ pu~ ~a~
硬磁盤	~a~ ci pun
硬筆	~a~ brt
硬糖	~a~ to~
硬紙	~a~ zi
硬紙板	~a~ zi ban
硬脂酸	~a~ zi svn
硬脂酸鈣	~a~ zi svn koi
硬膠	~a~ gau
硬臥	~a~ ~o
硬著頭皮	~a~ z@k tru pei
硬要	~a~ jiu
硬身	~a~ srn
硬逼	~a~ bik
硬邦邦	~a~ bo~ bo~
硬頂跑車	~a~ de~ pau ce
硬領	~a~ li~
硬頸	~a~ ge~
硬食	~a~ sik
硬骨頭	~a~ #rt tru
硬骨魚	~a~ #rt jv
硬體	~a~ tri
硯	jin
硯兄	jin hi~
硯友	jin jru
硯室	jin srt
硯山	jin san
硯山縣	jin san jvn
硯席	jin zik
硯弟	jin dri
硯水壺兒	jin s!i wu ji
硯池	jin ci
硯滴	jin dik
硯瓦	jin ~a
硯田	jin tin
硯田之食	jin tin zi sik
硯盒	jin hrp
硯石	jin sek
硯耕	jin ga~
硯臺	jin toi
硼砂	pr~ sa
硼酸	pr~ svn
碇泊	di~ bok
碉堡	diu bou
碌	luk
碌咭	luk grt
碌地	luk dei
碌地沙	luk dei sa
碌士	luk si
碌曲	luk kuk
碌曲縣	luk kuk jvn
碌架床	luk ga co~
碌柚	luk jru
碌碌	luk luk
碌碡	luk duk
碌葛	luk got
碎	s!i
碎催	s!i c!i
碎冰船	s!i bi~ svn
碎塊	s!i fai
碎塊兒	s!i fai ji
碎屍	s!i si
碎屍萬段	s!i si man dvn
碎屑	s!i sit
碎屑岩	s!i sit ~am
碎屑沉積物	s!i sit crm zik mrt
碎布條	s!i bou tiu
碎心裂膽	s!i srm lit dam
碎念	s!i nim
碎掉	s!i diu
碎料	s!i liu
碎末	s!i mut
碎步	s!i bou
碎濕濕	s!i srp srp
碎片	s!i pin
碎片整理	s!i pin zi~ lei
碎石	s!i sek
碎碎念	s!i s!i nim
碎紙	s!i zi
碎紙機	s!i zi gei
碎肉	s!i juk
碎裂	s!i lit
碎銀	s!i ~rn
碎錢	s!i cin
碎鑽	s!i zvn
碏	c@k
碑	bei
碑亭	bei ti~
碑刻	bei hrk
碑帖	bei tip
碑座	bei zo
碑座兒	bei zo ji
碑文	bei mrn
碑林	bei lrm
碑林區	bei lrm k!i
碑珓	bei gau
碑石	bei sek
碑碣	bei kit
碑記	bei gei
碑誌	bei zi
碑銘	bei mi~
碑額	bei ~ak
碓頭	d!i tru
碗	wun
碗仔翅	wun zri ci
碗布	wun bou
碗櫃	wun #ri
碗碗碟碟	wun wun dip dip
碗碟碰埋都有聲	wun dip pu~ mai dou jru se~
碘	din
碘化鈉	din fa nap
碘化鉀	din fa gap
碘化銀	din fa ~rn
碘酒	din zru
碘酸	din svn
碚	pui
碟	dip
碟仔	dip zri
碟仙	dip sin
碟子	dip zi
碟片	dip pin
碟頭飯	dip tru fan
碥	bin
碧	bik
碧咸	bik ham
碧土	bik tou
碧土縣	bik tou jvn
碧根鮑華	bik grn bau wa
碧歐泉	bik ru cvn
碧池	bik ci
碧海	bik hoi
碧海青天	bik hoi ci~ tin
碧潭	bik tam
碧玉	bik juk
碧璽	bik sai
碧瓦	bik ~a
碧眼	bik ~an
碧空	bik hu~
碧綠	bik luk
碧草如茵	bik cou jv jrn
碧藍	bik lam
碧螺春	bik lo c!n
碧血	bik hvt
碨	wri
碩	sek
碩士	sek si
碩士學位	sek si hok wri
碩士生	sek si sr~
碩大	sek dai
碩大無朋	sek dai mou pr~
碩學通儒	sek hok tu~ jv
碩果	sek #o
碩果僅存	sek #o grn cvn
碩果累累	sek #o l!i l!i
碩麗	sek lri
碫	dvn
碭	do~
碭山	do~ san
碭山縣	do~ san jvn
碰	pu~
碰一鼻子灰	pu~ jrt bei zi fui
碰上	pu~ s@~
碰倒	pu~ dou
碰到	pu~ dou
碰啱	pu~ ~am
碰壁	pu~ bik
碰巧	pu~ hau
碰彩	pu~ coi
碰彩數	pu~ coi sou
碰損	pu~ svn
碰撞	pu~ zo~
碰撞造山	pu~ zo~ zou san
碰擊	pu~ gik
碰瓷	pu~ ci
碰瓷兒	pu~ ci ji
碰碰車	pu~ pu~ ce
碰磁	pu~ ci
碰見	pu~ gin
碰觸	pu~ zuk
碰運氣	pu~ wrn hei
碰釘子	pu~ de~ zi
碰面	pu~ min
碰頭	pu~ tru
碰頭會	pu~ tru wui
碳	tan
碳化	tan fa
碳化氫	tan fa hi~
碳化物	tan fa mrt
碳化硅	tan fa #ri
碳化鈣	tan fa koi
碳匯	tan wui
碳原子	tan jvn zi
碳氫化合物	tan hi~ fa hrp mrt
碳水化合物	tan s!i fa hrp mrt
碳減排	tan gam pai
碳粉	tan frn
碳紙	tan zi
碳纖維	tan cim wri
碳足印	tan zuk jrn
碳酰氯	tan sin luk
碳酸	tan svn
碳酸岩	tan svn ~am
碳酸氫鈉	tan svn hi~ nap
碳酸鈉	tan svn nap
碳酸鈣	tan svn koi
碳酸鉀	tan svn gap
碳酸鹽	tan svn jim
碳鏈	tan lin
碳鏈纖維	tan lin cim wri
碳隔離	tan gak lei
碳黑	tan hrk
碴	za
確	kok
確乎	kok fu
確係	kok hri
確保	kok bou
確信	kok s!n
確切	kok cit
確定	kok di~
確定性	kok di~ si~
確定效應	kok di~ hau ji~
確實	kok srt
確山	kok san
確山縣	kok san jvn
確是	kok si
確有其事	kok jru kei si
確立	kok lap
確診	kok crn
確認	kok ji~
確證	kok zi~
確鑿	kok zok
確鑿不移	kok zok brt ji
碼	ma
碼分多址	ma frn do zi
碼子	ma zi
碼字	ma zi
碼放	ma fo~
碼線	ma sin
碼表	ma biu
碼農	ma nu~
碼長城	ma c@~ si~
碼頭	ma tru
碾	nin
碾坊	nin fo~
碾場	nin c@~
碾壓	nin at
碾子	nin zi
碾子山	nin zi san
碾子山區	nin zi san k!i
碾槌	nin c!i
碾盤	nin pun
碾砣	nin to
碾碎	nin s!i
碾磨	nin mo
碾米機	nin mri gei
碾過	nin #o
磁	ci
磁共振	ci gu~ zrn
磁共振成像	ci gu~ zrn si~ z@~
磁力	ci lik
磁力線	ci lik sin
磁力鎖	ci lik so
磁化	ci fa
磁卡	ci kat
磁單極子	ci dan gik zi
磁器	ci hei
磁場	ci c@~
磁層	ci cr~
磁帶	ci dai
磁帶機	ci dai gei
磁性	ci si~
磁感應	ci grm ji~
磁感應強度	ci grm ji~ k@~ dou
磁感線	ci grm sin
磁懸浮	ci jvn fru
磁懸浮列車	ci jvn fru lit ce
磁控管	ci hu~ gun
磁條	ci tiu
磁極	ci gik
磁氣圈	ci hei hvn
磁流體	ci lru tri
磁浮	ci fru
磁片	ci pin
磁異常	ci ji s@~
磁盤	ci pun
磁盤驅動器	ci pun k!i du~ hei
磁矩	ci g!i
磁石	ci sek
磁碟	ci dip
磁碟機	ci dip gei
磁縣	ci jvn
磁通量	ci tu~ l@~
磁釘	ci de~
磁鐵	ci tit
磁鐵礦	ci tit $o~
磁頭	ci tru
磁體	ci tri
磅	bo~
磅友	bo~ jru
磅水	bo~ s!i
磅礡	po~ bok
磅秤	bo~ ci~
磊	l!i
磊磊	l!i l!i
磊落	l!i lok
磊落大方	l!i lok dai fo~
磋	co
磋商	co s@~
磐	pun
磐安	pun on
磐安縣	pun on jvn
磐石	pun sek
磐石市	pun sek si
磐石縣	pun sek jvn
磑磑	~oi ~oi
磕	hrp
磕碰	hrp pu~
磕磕	hrp hrp
磕磕巴巴	hrp hrp ba ba
磕磕絆絆	hrp hrp bun bun
磕膝蓋	hrp srt goi
磕頭	hrp tru
磚	zvn
磚坯	zvn pui
磚塊	zvn fai
磚瓦	zvn ~a
磚石	zvn sek
磚窯	zvn jiu
磚窯場	zvn jiu c@~
磚紅土	zvn hu~ tou
磚頭	zvn tru
磡	hrm
磨	mo
磨不開	mo brt hoi
磨人	mo jrn
磨光	mo #o~
磨刀	mo dou
磨刀石	mo dou sek
磨刀霍霍	mo dou fok fok
磨叨	mo tou
磨合	mo hrp
磨唧	mo zik
磨嘰	mo gei
磨嘴	mo z!i
磨嘴皮	mo z!i pei
磨嘴皮子	mo z!i pei zi
磨坊	mo fo~
磨坊主	mo fo~ zv
磨子	mo zi
磨工病	mo gu~ be~
磨床	mo co~
磨得開	mo drk hoi
磨心	mo srm
磨快	mo fai
磨折	mo zit
磨損	mo svn
磨損率	mo svn l!t
磨擦	mo cat
磨料	mo liu
磨杵成針	mo cv si~ zrm
磨機	mo gei
磨洋工	mo j@~ gu~
磨滅	mo mit
磨煉	mo lin
磨煩	mo fan
磨牙	mo ~a
磨盤	mo pun
磨石	mo sek
磨石砂礫	mo sek sa lik
磨石粗砂岩	mo sek cou sa ~am
磨砂	mo sa
磨砂膏	mo sa gou
磨破口舌	mo po hru sit
磨破嘴皮	mo po z!i pei
磨破嘴皮子	mo po z!i pei zi
磨碌	mo luk
磨碎	mo s!i
磨磨蹭蹭	mo mo sr~ sr~
磨礪	mo lri
磨穿鐵硯	mo cvn tit jin
磨練	mo lin
磨耗	mo hou
磨腳石	mo g@k sek
磨菇	mo gu
磨蝕	mo sik
磨製石器	mo zri sek hei
磨豆腐	mo dru fu
磨起泡	mo hei pau
磨蹭	mo sr~
磨難	mo nan
磨齒	mo ci
磬竭	hi~ kit
磯	gei
磯鷸	gei wrt
磴口	dr~ hru
磴口縣	dr~ hru jvn
磷	l!n
磷光	l!n #o~
磷化鈣	l!n fa koi
磷火	l!n fo
磷灰石	l!n fui sek
磷灰粉	l!n fui frn
磷石	l!n sek
磷磷	l!n l!n
磷礦	l!n $o~
磷礦石	l!n $o~ sek
磷肥	l!n fei
磷脂	l!n zi
磷酸	l!n svn
磷酸鈉	l!n svn nap
磷酸鈣	l!n svn koi
磷酸鹽	l!n svn jim
磷酸鹽岩	l!n svn jim ~am
磺	wo~
磺胺	wo~ on
磻	pun
磾	dri
礁	ziu
礁島	ziu dou
礁湖	ziu wu
礁湖星雲	ziu wu si~ wrn
礁溪	ziu kri
礁溪鄉	ziu kri h@~
礁石	ziu sek
礄	kiu
礄口	kiu hru
礄口區	kiu hru k!i
礄頭	kiu tru
礌石	l!i sek
礎	co
礐	kok
礙	~oi
礙事	~oi si
礙口	~oi hru
礙口識羞	~oi hru sik sru
礙手礙腳	~oi sru ~oi g@k
礙眼	~oi ~an
礙胃口	~oi wri hru
礙難	~oi nan
礙難從命	~oi nan cu~ mi~
礙面子	~oi min zi
礜石	jv sek
礞	mu~
礤床	cat co~
礤床兒	cat co~ ji
礦	$o~
礦主	$o~ zv
礦井	$o~ ze~
礦務局	$o~ mou guk
礦區	$o~ k!i
礦坑	$o~ ha~
礦場	$o~ c@~
礦層	$o~ cr~
礦山	$o~ san
礦工	$o~ gu~
礦床	$o~ co~
礦業	$o~ jip
礦水	$o~ s!i
礦油精	$o~ jru zi~
礦泉	$o~ cvn
礦泉水	$o~ cvn s!i
礦渣	$o~ za
礦燈	$o~ dr~
礦物	$o~ mrt
礦物學	$o~ mrt hok
礦物燃料	$o~ mrt jin liu
礦物質	$o~ mrt zrt
礦產	$o~ can
礦產資源	$o~ can zi jvn
礦石	$o~ sek
礦脂	$o~ zi
礦脈	$o~ mrk
礦藏	$o~ co~
礦車	$o~ ce
礦難	$o~ nan
礦體	$o~ tri
礦鹽	$o~ jim
礫	lik
礫岩	lik ~am
礫石	lik sek
礵	s@~
示	si
示例	si lri
示例代碼	si lri doi ma
示好	si hou
示威	si wri
示威者	si wri ze
示威遊行	si wri jru hr~
示威運動	si wri wrn du~
示寂	si zik
示弱	si j@k
示性	si si~
示性類	si si~ l!i
示恩	si jrn
示意	si ji
示意圖	si ji tou
示愛	si oi
示波器	si bo hei
示現	si jin
示眾	si zu~
示範	si fan
示覆	si fuk
示警	si gi~
社	se
社交	se gau
社交恐懼症	se gau hu~ g!i zi~
社交才能	se gau coi nr~
社交網站	se gau mo~ zam
社交舞	se gau mou
社交語言	se gau jv jin
社保	se bou
社公	se gu~
社區	se k!i
社區學院	se k!i hok jvn
社員	se jvn
社團	se tvn
社壇	se tan
社女	se n!i
社學	se hok
社工	se gu~
社工人	se gu~ jrn
社戲	se hei
社教	se gau
社旗	se kei
社旗縣	se kei jvn
社會	se wui
社會主義	se wui zv ji
社會主義教育運動	se wui zv ji gau juk wrn du~
社會主義者	se wui zv ji ze
社會事業	se wui si jip
社會保障	se wui bou z@~
社會保險	se wui bou him
社會公共利益	se wui gu~ gu~ lei jik
社會動亂	se wui du~ lvn
社會化	se wui fa
社會名流	se wui mi~ lru
社會問題	se wui mrn tri
社會團體	se wui tvn tri
社會學	se wui hok
社會工作	se wui gu~ zok
社會工作者	se wui gu~ zok ze
社會平等	se wui pi~ dr~
社會性	se wui si~
社會效益	se wui hau jik
社會服務	se wui fuk mou
社會正義	se wui zi~ ji
社會民主	se wui mrn zv
社會民主主義	se wui mrn zv zv ji
社會民主黨	se wui mrn zv do~
社會環境	se wui wan gi~
社會福利	se wui fuk lei
社會福利署	se wui fuk lei cv
社會科學	se wui fo hok
社會等級	se wui dr~ krp
社會經濟	se wui gi~ zri
社會總需求	se wui zu~ s!i kru
社會行動	se wui hr~ du~
社會語言學	se wui jv jin hok
社會關係	se wui #an hri
社會關懷	se wui #an wai
社會階層	se wui gai cr~
社會黨	se wui do~
社民連	se mrn lin
社民黨	se mrn do~
社火	se fo
社科	se fo
社科院	se fo jvn
社稷	se zik
社維法	se wri fat
社群	se $rn
社評	se pi~
社論	se l!n
社長	se z@~
社頭	se tru
社頭鄉	se tru h@~
社鼠城狐	se sv si~ wu
祀	zi
祀物	zi mrt
祀神	zi srn
祁奚	kei hri
祁奚之薦	kei hri zi zin
祁東	kei du~
祁東縣	kei du~ jvn
祁縣	kei jvn
祁連	kei lin
祁連山	kei lin san
祁連山脈	kei lin san mrk
祁連縣	kei lin jvn
祁門	kei mun
祁門縣	kei mun jvn
祁陽	kei j@~
祁陽縣	kei j@~ jvn
祆教	hin gau
祆道	hin dou
祇不過	zi brt #o
祈	kei
祈仙台	kei sin toi
祈使句	kei sri g!i
祈望	kei mo~
祈求	kei kru
祈福	kei fuk
祈福禳災	kei fuk j@~ zoi
祈禱	kei tou
祈禱文	kei tou mrn
祈請	kei ci~
祉祿	zi luk
祓濯	frt zok
祓禊	frt hri
祓飾	frt sik
祓魔師	frt mo si
祔	fu
祕傳	bei cvn
祕密	bei mrt
祕方	bei fo~
祕書	bei sv
祕書長	bei sv z@~
祕本	bei bun
祕結	bei git
祕而不宣	bei ji brt svn
祕聞	bei mrn
祕藏	bei co~
祕訣	bei kvt
祕魯	bei lou
祖	zou
祖傳	zou cvn
祖先	zou sin
祖國	zou #ok
祖國光復會	zou #ok #o~ fuk wui
祖國和平統一委員會	zou #ok wo pi~ tu~ jrt wri jvn wui
祖墳	zou frn
祖姑母	zou gu mou
祖宗	zou zu~
祖宗十八代	zou zu~ srp bat doi
祖家	zou ga
祖居	zou g!i
祖屋	zou uk
祖師	zou si
祖廟	zou miu
祖母	zou mou
祖母綠	zou mou luk
祖沖之	zou cu~ zi
祖父	zou fu
祖父母	zou fu mou
祖父輩	zou fu bui
祖祖輩輩	zou zou bui bui
祖籍	zou zik
祖語	zou jv
祖輩	zou bui
祖馬	zou ma
祖魯	zou lou
祖魯人	zou lou jrn
祖鳥	zou niu
祖鳥類	zou niu l!i
祚	zou
祛	k!i
祛寒	k!i hon
祛淤	k!i jv
祛疑	k!i ji
祛痰	k!i tam
祛痰藥	k!i tam j@k
祛瘀	k!i jv
祛邪	k!i ce
祛邪除災	k!i ce c!i zoi
祛除	k!i c!i
祛風	k!i fu~
祝	zuk
祝你好運	zuk nei hou wrn
祝允明	zuk wrn mi~
祝壽	zuk sru
祝好	zuk hou
祝捷	zuk zit
祝枝山	zuk zi san
祝福	zuk fuk
祝禱	zuk tou
祝英臺	zuk ji~ toi
祝融	zuk ju~
祝謝	zuk ze
祝賀	zuk ho
祝賀詞	zuk ho ci
祝酒	zuk zru
祝頌	zuk zu~
祝願	zuk jvn
祝髮	zuk fat
神	srn
神不守捨	srn fru sru se
神不知鬼不覺	srn brt zi #ri brt gok
神主牌	srn zv pai
神乎其技	srn fu kei gei
神交	srn gau
神人	srn jrn
神仙	srn sin
神仙肚	srn sin tou
神仙難救	srn sin nan gru
神似	srn ci
神位	srn wri
神佛	srn frt
神傷	srn s@~
神像	srn z@~
神出鬼沒	srn c!t #ri mut
神力	srn lik
神功	srn gu~
神勞形瘁	srn lou ji~ s!i
神化	srn fa
神又係佢鬼又係佢	srn jru hri k!i #ri jru hri k!i
