\u377D	CHUI2 SHUI3 ZHUI3
\u377E	ZUO3
\u377F	BO2 BO3 FU4 QIAN4
\u3781	YAO4
\u3782	TUI3
\u3783	JI2
\u3785	GUO3
\u3786	JI3
\u3787	WEI3
\u378A	XU4
\u378B	NIAN3
\u378C	YUN4
\u378E	BA3 FU2 PA2
\u378F	ZHE2
\u3790	JU1
\u3791	WEI3
\u3792	XI4 XIE4
\u3793	QI3 QI4
\u3794	YI2
\u3795	XIE4
\u3796	CI4
\u3797	QIU2
\u3798	TUN2
\u3799	NIAO4
\u379A	QI4 ZHA3
\u379B	JI3
\u379F	DIAN4
\u37A0	LAO2 LIAO2
\u37A1	ZHAN3
\u37A4	YIN2
\u37A5	CEN2
\u37A6	JI3
\u37A7	HUI4
\u37A8	ZAI3 ZI3
\u37A9	LAN2
\u37AA	NAO2
\u37AB	JU4 ZOU3
\u37AC	QIN4
\u37AD	DAI4
\u37AF	JIE2
\u37B0	XU3
\u37B2	YONG4
\u37B3	DOU3
\u37B4	CHI2
\u37B6	MIN3
\u37B7	HUANG2
\u37B8	SUI4
\u37B9	KE3
\u37BA	ZU2
\u37BB	HAO4
\u37BC	CHENG2 SHENG4 ZHE2
\u37BD	XUE4
\u37BE	NI2 YI4
\u37BF	CHI4 QI2
\u37C0	LIAN2
\u37C1	AN4
\u37C2	CHI3 MU3
\u37C4	XIANG2
\u37C5	YANG2
\u37C6	HUA2
\u37C7	CUO2 CUO3
\u37C8	QIU2
\u37C9	LAO2
\u37CA	FU2
\u37CB	DUI4
\u37CC	MANG2
\u37CD	LANG2
\u37CE	TUO3
\u37CF	HAN2
\u37D0	MANG3
\u37D1	BO2
\u37D3	QI2
\u37D4	HAN2
\u37D6	LONG4
\u37D8	TIAO2
\u37D9	LAO3 ZE2 ZHAI2
\u37DA	QI2
\u37DB	ZAN4
\u37DC	MI2
\u37DD	PEI2 POU3
\u37DE	ZHAN4
\u37DF	XIANG4
\u37E0	GANG3
\u37E2	QI2
\u37E4	LU4
\u37E6	YUN4
\u37E7	E4 NIE4 XUN4
\u37E8	QUAN2
\u37E9	MIN2 MIN3 WEN3
\u37EA	WEI3
\u37EB	QUAN2
\u37EC	SHU3 SOU3
\u37ED	MIN2
\u37F0	MING3
\u37F1	YAO3
\u37F2	JUE2 YUAN2
\u37F3	LI4
\u37F4	KUAI4 KUI3 WEI3
\u37F5	GANG3
\u37F6	YUAN2
\u37F7	DA5
\u37F9	LAO2
\u37FA	LOU2
\u37FB	QIAN4
\u37FC	AO2
\u37FD	BIAO3
\u37FF	MANG2 MANG3
\u3800	DAO3
\u3802	AO2
\u3804	XI2
\u3805	FU2 FU4
\u3807	JIU4
\u3808	RUN4
\u3809	TONG2
\u380A	QU1
\u380B	E4
\u380D	JI2 JIE2 QI4
\u380E	JI2 QI4
\u380F	HUA2
\u3810	JIAO4
\u3811	ZUI4
\u3812	BIAO3
\u3813	MENG2
\u3814	BAI4
\u3815	WEI3
\u3816	JI4 YI3
\u3817	AO4 WO4
\u3818	YU3
\u3819	HAO2
\u381A	DUI4 ZHUO2
\u381B	WO4
\u381C	NI4
\u381D	CUAN2
\u381F	LI2
\u3820	LU2
\u3821	NIAO3
\u3822	HUA4 HUAI2 HUAN4 MO4
\u3823	LAI4 LI4
\u3825	LÜ4
\u3827	MI2 MI3
\u3828	YU4
\u382A	JU4
\u382D	ZHAN3 ZHAN4
\u382F	YI3
\u3831	JI4 QI3
\u3832	BI3
\u3834	REN4
\u3836	FAN2
\u3837	GE2
\u3838	KU4
\u3839	JIE4
\u383A	MIAO2
\u383D	TONG2
\u383F	CI3
\u3840	BI4
\u3841	KAI3 KUA4
\u3842	LI4
\u3844	SUN3 XUN2
\u3845	NUO3
\u3847	JI2 ZHE2
\u3848	MEN2 WEN4
\u3849	XIAN2 YAN2
\u384A	QIA4 QIAN3
\u384B	E4 YE2
\u384C	MAO4 MEI4
\u384F	TOU2
\u3851	QIAO3
\u3854	WU4
\u3856	CHUANG2
\u3857	TI2
\u3858	LIAN2
\u3859	BI4 PI2
\u385B	MANG2
\u385C	XUE3
\u385D	FENG4 FU2
\u385E	LEI3 LOU2 LÜ3
\u3860	ZHENG4
\u3861	CHU2
\u3862	MAN4
\u3863	LONG2
\u3865	YIN3
\u3867	ZHENG4
\u3868	QIAN1
\u3869	LUAN2
\u386A	NIE2
\u386B	YI4
\u386D	JI4 KUI2
\u386E	JI2
\u386F	ZHAI2
\u3870	YU3
\u3871	JIU3
\u3872	HUAN2
\u3873	DI3 ZHE2 ZHI3
\u3875	LING2
\u3876	JI4 ZHI3
\u3877	BEN3
\u3878	ZHA3 ZHA4
\u3879	CI4
\u387A	DAN4
\u387B	LIAO4
\u387C	YI4
\u387D	ZHAO4
\u387E	XIAN4
\u387F	CHI4
\u3880	CI4 ZI4
\u3881	CHI3
\u3882	YAN3
\u3883	LANG2
\u3884	DOU4
\u3885	LONG4
\u3886	CHAN2
\u3888	TUI2
\u3889	CHA2
\u388A	AI3
\u388B	CHI3
\u388D	YING2 YING3
\u388E	CHA4 ZE2 ZHAI2 ZHE2
\u388F	TOU2
\u3891	TUI2
\u3892	CHA2
\u3893	YAO3 ZHANG4
\u3894	ZONG3
\u3897	QIAO4
\u3898	LIAN2
\u3899	QIN2
\u389A	LU3
\u389B	YAN4
\u389E	YI4
\u389F	CHAN3
\u38A0	JIONG3 JUN4
\u38A1	JIANG3
\u38A3	JING4 QING2
\u38A5	DONG4
\u38A7	JUAN4
\u38A8	HAN4
\u38A9	DI4
\u38AC	HONG2
\u38AE	CHI2
\u38AF	MIN2
\u38B0	BI4 HUAN2
\u38B2	XUN4
\u38B3	LU2 LÜ4
\u38B5	SHE4 XIE2
\u38B6	BI4
\u38B8	BI4
\u38BA	XIAN2
\u38BB	WEI3
\u38BC	BIE4
\u38BD	ER3
\u38BE	JUAN4
\u38C0	ZHEN4
\u38C1	BEI4
\u38C2	YI4
\u38C3	YU3 YU4
\u38C4	QU2
\u38C5	ZAN4
\u38C6	MI2 PEI4
\u38C7	NI3 YI4
\u38C8	SI4
\u38CC	SHAN4
\u38CD	TAI2
\u38CE	MU4
\u38CF	JING4
\u38D0	BIAN4
\u38D1	RONG2
\u38D2	CENG4
\u38D3	CAN4
\u38D9	DI2
\u38DA	TONG2 TONG3
\u38DB	TA4
\u38DC	XING2
\u38DE	DUO2 DUO4
\u38DF	XI4
\u38E0	TONG2
\u38E2	TI2
\u38E3	SHAN3 SHAN4
\u38E4	JIAN4
\u38E5	ZHI4
\u38E7	YIN4 YONG3
\u38EA	HUAN3 KUO4
\u38EB	ZHONG3
\u38EC	QI4
\u38EF	XIE4
\u38F0	XIE4
\u38F1	ZE2 ZUO4
\u38F2	WEI2
\u38F5	TA4
\u38F6	ZHAN1
\u38F7	NING4
\u38FB	YI4
\u38FC	REN3
\u38FD	SHU4
\u38FE	CHA4
\u38FF	ZHUO2
\u3901	MIAN3 TIAN3
\u3902	JI2
\u3903	FANG2
\u3904	PEI4
\u3905	AI4
\u3906	FAN4
\u3907	AO3 FO2 WU4
\u3908	QIN4
\u3909	QIA4 YA2
\u390A	XIAO4 YAO2
\u390D	QIAO3
\u390F	TONG2
\u3911	YOU4
\u3913	BEN4
\u3914	FU2 FU4
\u3915	CHU4
\u3916	ZHU4
\u3918	CHU4 CU4 ZHOU4
\u391A	HANG2
\u391B	NIN2 REN4
\u391C	JUE2 YU4
\u391E	CHA4
\u391F	KONG3 TOU4
\u3920	LIE4
\u3921	LI4
\u3922	XU4 YU4
\u3924	YU2 YU3
\u3925	HAI4
\u3926	LI4
\u3927	HOU2 HOU4
\u3928	GONG3 QIONG2
\u3929	KE4
\u392A	YUAN4
\u392B	DE2
\u392C	HUI4 KUI4
\u392E	KUANG2
\u392F	JIONG3 JUN4
\u3930	ZAN3 ZUO4
\u3931	FU4
\u3932	QIE4 QU4
\u3933	BEI3
\u3934	XI2
\u3935	CI2
\u3936	PANG2
\u3938	XI4
\u3939	QIU2
\u393A	HUANG3
\u393D	CHOU2
\u393E	SAN4
\u3940	DE2
\u3941	DE2 ZHI2 ZHOU4
\u3942	TE4
\u3943	MEN4
\u3944	LING2
\u3945	SHOU4
\u3946	DIAN4 TUI4
\u3947	CAN2 CAN4
\u3948	DIE2
\u3949	CHE4 CHI4
\u394A	PENG2
\u394C	JU2
\u394D	JI4
\u394E	LAI2 LI2
\u394F	TIAN3
\u3950	YUAN4
\u3952	CAI3
\u3953	QI3
\u3954	YU2 YU4
\u3955	LIAN2
\u395A	YU2
\u395B	JI2 KE4 SU4
\u395C	WEI4
\u395D	MI3 MIAN3
\u395E	CUI4 QIAN4 SUI4
\u395F	XIE2
\u3960	XU3
\u3961	XI4
\u3962	QIU2
\u3963	HUI4
\u3965	YU2
\u3966	QIE4 XIA2 XIAN3
\u3967	SHUN4
\u3968	CHUI2 SHUI4 WEI3
\u3969	DUO3
\u396A	LOU2
\u396C	PANG2
\u396D	TAI4
\u396E	ZHOU4
\u396F	YIN3
\u3971	FEI3
\u3972	SHEN4 YIN2
\u3973	YUAN2
\u3974	YI2
\u3975	HUN4
\u3976	SE4
\u3977	YE4 YI4
\u3978	MIN3
\u3979	FEN3
\u397A	HE2 HE4
\u397C	YIN3
\u397D	CE4 ZE2
\u397E	NI4
\u397F	AO4
\u3980	FENG2
\u3981	LIAN2
\u3982	CHANG2 TANG4
\u3983	CHAN3
\u3984	MA2 MI4
\u3985	DI4
\u3987	LU4
\u3989	YI4
\u398A	HUA2
\u398C	TUI4 XU4
\u398D	E4
\u398E	HUA4
\u398F	SUN3 XUAN4
\u3990	NI4
\u3991	LIAN3 XIAN4
\u3992	LI2
\u3993	XIAN4
\u3994	YAN4
\u3995	LONG2
\u3996	MEN4
\u3997	JIAN4 JIN4
\u399A	BIAN3
\u399B	YU2 YU3
\u399C	HUO4 XUE4
\u399D	MIAO3
\u399E	CHOU2
\u399F	HAI4 MAI2
\u39A1	LE4
\u39A2	JIE2 QI4
\u39A3	WEI4
\u39A4	YI4
\u39A5	HUAN2 XIAN3
\u39A6	HE4
\u39A7	CAN3
\u39A8	LAN2 LAN4
\u39A9	YIN3
\u39AA	XIE4
\u39AC	LUO3
\u39AD	LING2
\u39AE	QIAN2
\u39AF	HUO4
\u39B1	WO3
\u39B4	GE2 QIA4
\u39B6	DIE2
\u39B7	YONG3
\u39B8	JI3
\u39B9	ANG4 YANG2 YING3
\u39BA	RU3 RU4
\u39BB	XI2 ZHE2
\u39BC	SHUANG4
\u39BD	XU4 YU4
\u39BE	YI2
\u39BF	HU4
\u39C0	JI2
\u39C1	QU4
\u39C2	TIAN2
\u39C4	QIAN3 QIU2
\u39C5	MU4
\u39C7	MAO3
\u39C8	YIN3 YIN4
\u39C9	GAI4 KUI4
\u39CA	BA2
\u39CB	XIAN3 XUAN3
\u39CC	MAO4
\u39CD	FANG3
\u39CE	YA2
\u39D0	SONG3
\u39D1	WEI2 WEI3
\u39D2	XUE2 YU4 YUE4
\u39D4	GUAI4
\u39D5	JIU4 LIU3 YU2
\u39D6	E4
\u39D7	ZI3
\u39D8	CUI4 NAO3 ZI4
\u39D9	BI4
\u39DA	WA3
\u39DC	LIE4
\u39DF	KUAI3
\u39E1	HAI4
\u39E3	ZHU4
\u39E4	CHONG4
\u39E5	XIAN3
\u39E6	XUAN4
\u39E8	QIU2
\u39E9	PEI4
\u39EA	GUI3
\u39EB	ER2
\u39EC	GONG3
\u39ED	QIONG2
\u39EF	LAO3
\u39F0	LI4
\u39F1	CHEN4 NA2 NI4 TIAN4
\u39F2	SAN3
\u39F3	BO2 ZHUO4
\u39F4	WO3
\u39F5	POU2 POU3
\u39F7	DUO4 TUN4
\u39F9	TE4
\u39FA	TA4
\u39FB	ZHI3 ZHUO2 ZU2
\u39FC	BIAO4
\u39FD	GU4 HU2
\u3A00	BING3
\u3A01	ZHI2 ZHI4
\u3A02	DONG3
\u3A03	CHENG2 DUI3
\u3A04	ZHAO4
\u3A05	NEI4 RUI4
\u3A06	LIN3
\u3A07	PO2
\u3A08	JI3
\u3A09	MIN3
\u3A0A	WEI3
\u3A0B	CHE3 LE4 ZHEN4
\u3A0C	GOU4 RU2 RU3
\u3A0E	RU2 RUAN2
\u3A10	BU3 PEI2
\u3A12	KUI2 WEI3 XIE2
\u3A13	LAO2 LIAO2
\u3A14	HAN4
\u3A15	YING2
\u3A16	ZHI4
\u3A17	JIE2
\u3A18	XING3
\u3A19	XIE2
\u3A1A	XUN2
\u3A1B	SHAN3
\u3A1C	QIAN2
\u3A1D	XIE4
\u3A1E	SU4
\u3A1F	HAI2
\u3A20	MI4
\u3A21	HUN2
\u3A24	HUI4 KUAI3 WAI4
\u3A25	NA4
\u3A26	SONG3
\u3A27	BEN4
\u3A28	LIU4
\u3A29	JIE2
\u3A2A	HUANG4
\u3A2B	LAN3
\u3A2D	HU4
