㥍	ji:4
㥎	ld:2
㥏	tm:3
㥐	yr:4
㥒	cd:3 cd:1
㥓	qi:1
㥔	yu:4
㥕	lm:2
㥖	cs:1
㥚	yu:2 yu:3
㥛	ji:2 ke:4
㥜	ww:4
㥝	mi:3
㥞	sv:4
㥟	xp:2
㥠	xu:1
㥡	ii:4
㥢	qq:2 jq:1
㥣	hv:4
㥥	yu:2
㥦	qp:4
㥧	ub:4
㥨	uv:4 ww:3
㥩	do:3
㥪	lz:2
㥬	ph:2
㥭	td:4
㥮	vz:4 ik:3
㥯	yn:3
㥰	sk:1
㥱	fw:3
㥲	if:1 uf:4
㥳	yr:2
㥴	yi:2 ti:2
㥵	hb:4
㥶	se:4 qm:1
㥷	ye:4
㥸	mn:3
㥹	ff:3
㥺	he:2
㥼	yn:4 yj:1
㥽	ce:4 ze:2
㥾	ni:4
㥿	ao:4
㦀	fg:2
㦁	lm:2 lm:3
㦂	ih:2
㦃	ij:3
㦄	ma:2
㦅	dp:1 di:4 id:4
㦆	hu:1 xx:1
㦇	lu:4
㦉	yi:4
㦊	hx:2
㦋	va:1
㦌	hu:1 xu:4
㦍	ee:4
㦎	ho:4
㦏	sb:3 xr:4
㦐	ni:4
㦑	xm:4 hj:1
㦒	li:2
㦓	xm:4 rj:3
㦔	yj:4
㦕	ls:2
㦖	mf:4
㦗	jn:1 jn:4
㦘	ji:1
㦚	bm:3
㦛	yu:3 yu:2
㦜	ho:4 xt:4
㦝	mc:3
㦞	iz:2
㦟	md:2
㦡	le:4
㦢	jp:2
㦣	ww:4
㦤	yi:4
㦥	xr:1 xm:3
㦦	xi:4
㦧	cj:3
㦨	lj:2
㦩	yn:3
㦪	xp:4
㦫	za:1
㦬	lo:3
㦭	ly:2
㦮	qm:2
㦯	ho:4
㦰	jm:1
㦱	wo:3
㦴	ge:2
㦵	vu:1
㦶	dp:2 ys:3
㦷	ys:3
㦸	ji:3
㦹	yh:2
㦺	ru:4
㦻	xi:2
㦼	ul:4
㦽	yu:4
㦾	yi:2
㦿	qm:3 hu:4
㧀	ji:2
㧁	qu:4 he:2
㧂	tm:2
㧃	uz:1 jq:1
㧄	qm:3
㧅	mu:4 dk:1
㧆	jn:1
㧇	mk:3
㧈	yn:3
㧉	gd:4 hj:4 ye:4
㧊	po:1 ba:2
㧋	xr:3
㧌	mk:4
㧍	fh:3 bg:1
