#level1
鐙	dgjd
銃	isje
銑	xmje
銑	xije
鋼	gjje
鏡	jkje
鋒	fgjf
錐	vvjf
雑	zajf
幌	hljg
銭	qmjg
鍔	eejg
鍬	qnjh
鳳	fgjh
触	iuji
風	fgji
錦	jbjj
帖	tpjk
覧	ljjk
釦	kzjk
鈷	gujk
鉛	qmjk
銅	tsjk
銘	mkjk
鋸	jujk
鋸	jujk
鍋	gojk
鏑	dijk
鋤	iujl
鑑	jmjm
解	jpjn
解	xpjn
鉄	tpjn
鉾	mzjn
銀	ybjn
錬	lmjn
鎌	jkjn
鎌	lmjn
帳	vhjn
帽	mcjo
旭	xujo
錆	qljo
錯	cojo
錫	xijp
欣	xbjq
欽	qbjq
錠	dkjr
鈴	lkjs
鉱	gljs
幅	fujt
幡	fjjt
錨	mcjt
針	vfju
鐸	doju
鈍	dyjv
鉦	vgjv
幣	bijx
鍍	dujy
鍛	drjy
鍵	jmjz
日	rika
山	ujka
目	muka
叫	jnka
巨	juka
臣	ifka
哩	lika
匪	fwka
喧	xrka
嘘	xuka
嘘	uika
唾	toka
咋	zeka
咋	zaka
咋	vaka
皿	mbka
唖	yaka
噸	dyka
囲	wwka
顎	eeka
只	vikb
唄	bwkb
唄	bdkb
噴	pfkb
噂	zykc
団	trkc
因	ybkd
咽	yjkd
咽	yekd
嘱	vukd
圃	pukd
臥	wokd
諮	zikd
咲	grkd
喫	iikd
嚇	xxkd
嚇	hekd
四	sike
兄	xske
匹	pike
呪	vzke
唯	wwkf
哲	vekf
吃	iikg
号	hckg
哉	zdkg
啓	qikh
吊	dnkj
匠	jlkj
匝	zakj
回	hvkk
同	tskk
器	qikk
品	pbkk
固	gukk
匿	nikk
嗣	sikk
臨	lbkk
呂	lvkk
噛	npkk
岡	ghkk
呆	ddkm
困	kykm
喋	vakm
喋	dpkm
吸	xikn
味	wwkn
啄	vokn
詠	yskn
喚	hrkn
嘆	tjkn
骨	guko
唱	ihko
哨	ucko
噌	cgko
吻	wfkp
欧	oukq
吹	ivkq
叱	iikq
吠	fwkq
足	zukr
咳	kekr
囚	qqkr
轡	pwks
緊	jbks
吐	tukt
呼	huku
叶	yeku
叶	xpku
医	yiku
田	tmku
喉	hzku
嘩	hxku
喝	hekv
吟	ybkv
邑	yikv
吋	cykv
嚇	xxkv
嚇	hekv
圏	qrkv
圏	jrkv
網	whkv
国	gokw
呈	igkw
匡	klkw
唆	sokw
区	qukx
区	oukx
凶	xskx
図	tukx
殴	ouky
園	yrky
立	lila
端	drla
童	tsla
麟	lbla
耕	ggla
顔	yjla
龍	lsla
韻	yylb
聾	lsle
競	jkle
新	xblj
帝	dilj
親	qblj
親	qklj
加	jxlk
商	uhlk
耗	hclm
麓	lulm
努	nuln
妾	qpln
音	yblo
靖	qklo
脅	xplo
彦	yjlp
彰	vhlp
勢	uilt
塵	iflt
章	vhlu
辛	xblu
竜	lslv
竣	jylw
毅	yily
襲	xily
棒	bhma
桶	tsma
桓	hrma
檀	tjma
柚	yzma
類	lwma
馴	xyma
柵	vama
柵	ujma
柵	cema
桝	jpma
極	jima
構	gzma
樺	hxma
盃	bwma
糧	llma
横	hgmb
棋	qimb
柏	bomb
